EC number	SuperFamilyCount	ProteinCount	Entries
('2.1.1.331',)	1	1	"{""('SSF102114',)"": [""Q8KCU0""]}"
('2.1.1.332',)	1	1	"{""('SSF102114',)"": [""Q8KBK9""]}"
('2.1.1.336',)	1	6	"{""('SSF53335',)"": [""A0A077EWA5"", ""A0A2H5AIZ6"", ""A0A077ES70"", ""A0A077ESS0"", ""A0A077EW86"", ""A0A077EYL8""]}"
('2.1.1.337',)	1	1	"{""('SSF53335',)"": [""A0A1C9U5X5""]}"
('2.1.1.34',)	1	8	"{""('SSF75217',)"": [""Q5SM16"", ""Q07527"", ""Q72GI1"", ""O67577"", ""P0AGJ2"", ""O51081"", ""P0AGJ3"", ""P0AGJ4""]}"
('2.1.1.341',)	1	1	"{""('SSF103025',)"": [""G2IQS7""]}"
('2.1.1.342',)	1	1	"{""('SSF102114',)"": [""A0A384LP51""]}"
('2.1.1.344',)	1	1	"{""('SSF53335',)"": [""L0D9B6""]}"
('2.1.1.346',)	1	4	"{""('SSF53335',)"": [""O42662"", ""Q290Z2"", ""Q554C9"", ""Q7K3B9""]}"
('2.1.1.347',)	1	1	"{""('SSF53335',)"": [""A9AWD7""]}"
('2.1.1.348',)	1	10	"{""('SSF53335',)"": [""F1R777"", ""O82486"", ""P41833"", ""Q86U44"", ""Q8C3P7"", ""Q9VCE6"", ""A0A9P5CQV5"", ""G4MSY9"", ""Q6EU10"", ""Q2HVD6""]}"
('2.1.1.35',)	1	3	"{""('SSF53335',)"": [""Q9UZR7"", ""O58864"", ""Q8U1N4""]}"
('2.1.1.351',)	1	1	"{""('SSF53335',)"": [""A0A1X9WEP1""]}"
('2.1.1.353',)	1	1	"{""('SSF53335',)"": [""Q70KH3""]}"
('2.1.1.354',)	1	12	"{""('SSF82199',)"": [""P38827"", ""P97443"", ""Q6FKB1"", ""Q75D88"", ""Q84WW6"", ""Q8IRW8"", ""Q8NB12"", ""Q9CWR2"", ""Q9H7B4"", ""Q4I5R3"", ""Q4PB36"", ""Q6CIT4""]}"
('2.1.1.355',)	1	2	"{""('SSF82199',)"": [""Q8X225"", ""A0A1L7TZE5""]}"
('2.1.1.356',)	1	22	"{""('SSF82199',)"": [""G0SDW4"", ""O17514"", ""O65312"", ""P42124"", ""P70351"", ""Q08BS4"", ""Q10MI4"", ""Q15910"", ""Q4R381"", ""Q5VN06"", ""Q61188"", ""Q92800"", ""Q9ZSM8"", ""Q84UI6"", ""Q98SM3"", ""A7E2Z2"", ""Q28D84"", ""Q4V863"", ""Q5RDS6"", ""Q8S4P4"", ""Q8S4P5"", ""Q8S4P6""]}"
('2.1.1.357',)	1	4	"{""('SSF82199',)"": [""Q5I0M0"", ""Q9NH52"", ""Q0VD24"", ""Q80UJ9""]}"
('2.1.1.359',)	1	4	"{""('SSF82199',)"": [""Q8IE95"", ""P0CO28"", ""P0CO29"", ""Q4PBL3""]}"
('2.1.1.360',)	1	20	"{""('SSF53335',)"": [""Q04089"", ""Q6AW06"", ""Q8INR6"", ""Q8TEK3"", ""P0CN14"", ""Q4WVH4"", ""Q5BH89"", ""Q6C4Y5"", ""Q6FNM5"", ""Q756E1"", ""Q7SB74"", ""P0CN15"", ""Q1DKD8"", ""Q2H9L1"", ""Q2U696"", ""Q4IJP1"", ""Q4P2W8"", ""Q5A309"", ""Q6BTC8"", ""Q6CWV1""]}"
('2.1.1.361',)	1	3	"{""('SSF82199',)"": [""Q22795"", ""Q9VFK6"", ""Q297V5""]}"
('2.1.1.362',)	1	2	"{""('SSF82199',)"": [""Q09265"", ""A8WTV9""]}"
('2.1.1.365',)	1	1	"{""('SSF53335',)"": [""K5B7F3""]}"
('2.1.1.37',)	1	80	"{""('SSF53335',)"": [""B1Q3J6"", ""O23273"", ""O34680"", ""O34939"", ""P05102"", ""P13864"", ""P26358"", ""P34881"", ""Q24K09"", ""Q54JH6"", ""Q7Y1I7"", ""Q92072"", ""Q9T0I1"", ""Q9Z330"", ""P0DW08"", ""P13906"", ""P20589"", ""Q27746"", ""Q9LXE5"", ""D4ZX35"", ""O30868"", ""O31073"", ""O33481"", ""O52702"", ""P00476"", ""P05101"", ""P05302"", ""P06530"", ""P08455"", ""P09795"", ""P09915"", ""P0AED9"", ""P0AEE0"", ""P10283"", ""P15446"", ""P15840"", ""P16668"", ""P17044"", ""P19888"", ""P24600"", ""P25262"", ""P25263"", ""P25264"", ""P25266"", ""P25282"", ""P25283"", ""P29567"", ""P31033"", ""P31974"", ""P34878"", ""P34882"", ""P34883"", ""P34905"", ""P34906"", ""P36216"", ""P45000"", ""P50188"", ""P50192"", ""P52311"", ""P68585"", ""P68586"", ""P94147"", ""Q2RBJ4"", ""Q59603"", ""Q59605"", ""Q59606"", ""Q67472"", ""Q8EL95"", ""Q9M0S8"", ""Q9RLM4"", ""Q9YDP3"", ""P09389"", ""P24581"", ""P25265"", ""P25267"", ""P43420"", ""P50182"", ""P50185"", ""Q57983"", ""Q58600""]}"
('2.1.1.372',)	1	11	"{""('SSF82199',)"": [""Q9USK2"", ""Q0C9E6"", ""Q0U3A4"", ""Q1E9C0"", ""Q2H8D5"", ""Q2TZH4"", ""Q4I8C9"", ""Q4X1W8"", ""Q5AZY3"", ""Q6C519"", ""Q7SBJ9""]}"
('2.1.1.374',)	1	5	"{""('SSF53335',)"": [""P9WKL5"", ""B1MCE2"", ""A1KG37"", ""A5TZU0"", ""P9WKL4""]}"
('2.1.1.378',)	1	1	"{""('SSF51717',)"": [""Q24SP6""]}"
('2.1.1.379',)	1	2	"{""('SSF102114',)"": [""Q8THG6"", ""Q58251""]}"
('2.1.1.381',)	1	1	"{""('SSF53335',)"": [""A0A411EW25""]}"
('2.1.1.386',)	1	13	"{""('SSF53335',)"": [""P34283"", ""Q230X8"", ""Q568P9"", ""Q5T8I9"", ""Q7K175"", ""Q8CAE2"", ""Q9C5Q8"", ""C0IN03"", ""E1BVR9"", ""H9JDT2"", ""Q32PY6"", ""Q4R3W5"", ""Q9UST9""]}"
('2.1.1.392',)	1	1	"{""('SSF53335',)"": [""A0A075D6M1""]}"
('2.1.1.393',)	1	1	"{""('SSF53335',)"": [""A0A075D654""]}"
('2.1.1.4',)	1	1	"{""('SSF53335',)"": [""Q6YSY5""]}"
('2.1.1.41',)	1	13	"{""('SSF53335',)"": [""O74198"", ""P25087"", ""Q6FRZ7"", ""Q9LM02"", ""P0CT10"", ""Q54I98"", ""L7IP31"", ""Q6BRB7"", ""Q6C2D9"", ""Q6CYB3"", ""Q6ZIX2"", ""Q759S7"", ""Q875K1""]}"
('2.1.1.44',)	1	3	"{""('SSF53335',)"": [""A0R5M8"", ""P9WN46"", ""P9WN47""]}"
('2.1.1.45',)	1	426	"{""('SSF55831',)"": [""P04818"", ""P06785"", ""P07607"", ""P0A884"", ""P45352"", ""P9WFR9"", ""O76511"", ""P0CI79"", ""P11044"", ""P12461"", ""Q2TA32"", ""Q9UWQ5"", ""A0AJY0"", ""A0JZC7"", ""A0KG32"", ""A0KZP5"", ""A0LY29"", ""A0PQG7"", ""A0Q7B4"", ""A0QIU1"", ""A0QVR9"", ""A0RDL9"", ""A1AF39"", ""A1AWQ8"", ""A1JPC9"", ""A1KAF7"", ""A1KMA6"", ""A1KVB3"", ""A1R8Y7"", ""A1RME0"", ""A1S3W8"", ""A1SJ31"", ""A1SS96"", ""A1T7P4"", ""A1TM53"", ""A1U3D8"", ""A1UEU8"", ""A1UTA5"", ""A1VQZ6"", ""A1W5A4"", ""A1WYP9"", ""A2RF20"", ""A2SHH0"", ""A3CMU9"", ""A3D1U3"", ""A3PLD1"", ""A3PYA8"", ""A3QBR4"", ""A4INY1"", ""A4IXE8"", ""A4QCI7"", ""A4SIW7"", ""A4SVT7"", ""A4TCI9"", ""A4TLC5"", ""A4VGL9"", ""A4VUL1"", ""A4W0V3"", ""A4WE03"", ""A4WQT6"", ""A4Y044"", ""A4Y4J1"", ""A4YZC4"", ""A5CWK3"", ""A5EPD3"", ""A5EVG5"", ""A5F8Y6"", ""A5FJV8"", ""A5II41"", ""A5ISV8"", ""A5U6B7"", ""A5UDH0"", ""A5UI47"", ""A5VCW6"", ""A5VJK9"", ""A5VRE7"", ""A5WAK1"", ""A5WHY0"", ""A6GWH3"", ""A6L1Q8"", ""A6LIC2"", ""A6M378"", ""A6QGX8"", ""A6TDG3"", ""A6U1P7"", ""A6UB24"", ""A6UYE6"", ""A6VMA0"", ""A6W1R4"", ""A6WGF9"", ""A6WKP4"", ""A6WZV4"", ""A7FFE0"", ""A7GP90"", ""A7HVX4"", ""A7MR31"", ""A7MXJ9"", ""A7NB78"", ""A7X2B3"", ""A7Z5T3"", ""A7ZQT3"", ""A8A3W0"", ""A8AP42"", ""A8AXC2"", ""A8FEB9"", ""A8FSC3"", ""A8GIH7"", ""A8H1B4"", ""A8YUW0"", ""A8Z406"", ""A9IW82"", ""A9KF61"", ""A9L5M3"", ""A9M657"", ""A9MS82"", ""A9N2L7"", ""A9N980"", ""A9NG27"", ""B0CHI7"", ""B0TIU4"", ""B0TYI1"", ""B0UWT7"", ""B1IU17"", ""B3QZX0"", ""B6JB67"", ""B7GI39"", ""B7H0P4"", ""B7I4U0"", ""B7KQG2"", ""B7LF04"", ""B7LNI2"", ""B7LY83"", ""B7MLH3"", ""B7MZC6"", ""B7N759"", ""B7NVX2"", ""B7UHP4"", ""B7V2Q5"", ""B7VJ78"", ""B8CQK7"", ""B8D7X0"", ""B8D9L8"", ""B8DDM8"", ""B8EBR5"", ""B8ELI3"", ""B8F6S2"", ""B8GN06"", ""B8I0T8"", ""B8IF20"", ""B8ZMQ1"", ""B9JH03"", ""B9JXQ5"", ""C0PXI9"", ""C0QWM9"", ""C0RE38"", ""C0ZI91"", ""C1AFM7"", ""C1C631"", ""C1CD36"", ""C1CJD5"", ""C1CQE7"", ""C1D070"", ""C1D4I5"", ""C1DK16"", ""C1KWH4"", ""C3K3Q8"", ""C3LST0"", ""C3MEE8"", ""C3PEY5"", ""C4K7G3"", ""C4L1C9"", ""C4LD19"", ""C4ZZX9"", ""C5BH86"", ""C5BMA3"", ""C5DAR2"", ""C6DAE9"", ""E0TVT6"", ""E0U0H8"", ""O30394"", ""O30397"", ""O33380"", ""O62584"", ""O66108"", ""O96650"", ""P00469"", ""P00471"", ""P06854"", ""P07606"", ""P0A0M5"", ""P0A885"", ""P0A886"", ""P0C0M4"", ""P0C0M5"", ""P0CS12"", ""P0CS13"", ""P0DG66"", ""P0DG67"", ""P12462"", ""P13100"", ""P19368"", ""P44420"", ""P47469"", ""P48464"", ""P54081"", ""P57515"", ""P57808"", ""P59427"", ""P67042"", ""P67043"", ""P67045"", ""P67046"", ""P67047"", ""P67048"", ""P67049"", ""P67050"", ""P67051"", ""P78029"", ""P9WFR8"", ""Q02U73"", ""Q02Y43"", ""Q039F7"", ""Q03F96"", ""Q03LN3"", ""Q03S95"", ""Q03YZ8"", ""Q044A1"", ""Q04B29"", ""Q04FR4"", ""Q04LL8"", ""Q07PP0"", ""Q07YY3"", ""Q0ABR1"", ""Q0AHA4"", ""Q0BMM0"", ""Q0C504"", ""Q0HG85"", ""Q0HSH8"", ""Q0I563"", ""Q0K889"", ""Q0SEI1"", ""Q0T137"", ""Q0TE05"", ""Q0VM06"", ""Q11HI0"", ""Q11VK5"", ""Q12CI6"", ""Q12KG8"", ""Q134B1"", ""Q14H07"", ""Q15P51"", ""Q168V8"", ""Q1BA64"", ""Q1CAR9"", ""Q1CFB5"", ""Q1GAP2"", ""Q1GFV4"", ""Q1GTH6"", ""Q1J744"", ""Q1JC96"", ""Q1JHC5"", ""Q1JM80"", ""Q1LK81"", ""Q1LSU0"", ""Q1ME82"", ""Q1Q8B2"", ""Q1QJT8"", ""Q1QUD9"", ""Q1R7I6"", ""Q1WU17"", ""Q211X8"", ""Q21NW5"", ""Q21U56"", ""Q2A486"", ""Q2FH11"", ""Q2FYK5"", ""Q2G6V6"", ""Q2IYG7"", ""Q2K6G8"", ""Q2NJ46"", ""Q2NRH3"", ""Q2NZH9"", ""Q2SA17"", ""Q2W7P4"", ""Q2YS22"", ""Q2YY40"", ""Q31I55"", ""Q31XG0"", ""Q32C94"", ""Q38WX8"", ""Q3BX87"", ""Q3IDN1"", ""Q3J0W9"", ""Q3JEI2"", ""Q3K0J7"", ""Q3SH96"", ""Q3SQ36"", ""Q3YY33"", ""Q47II1"", ""Q47Y31"", ""Q48U25"", ""Q49XN8"", ""Q4A611"", ""Q4JQW2"", ""Q4JX59"", ""Q4L6D7"", ""Q4QM04"", ""Q4UR35"", ""Q57CA9"", ""Q57KB6"", ""Q59212"", ""Q5D189"", ""Q5E7P1"", ""Q5F732"", ""Q5FKL6"", ""Q5GWB5"", ""Q5HFZ6"", ""Q5HMP6"", ""Q5KZ25"", ""Q5L9L6"", ""Q5M0S7"", ""Q5M5B3"", ""Q5NFK5"", ""Q5P233"", ""Q5PEN6"", ""Q5R064"", ""Q5WDS1"", ""Q5WSU5"", ""Q5X119"", ""Q5XCM3"", ""Q5YPL7"", ""Q5ZRL3"", ""Q603S2"", ""Q63BV5"", ""Q64PV5"", ""Q65J44"", ""Q65VJ8"", ""Q667F9"", ""Q67JQ1"", ""Q6A761"", ""Q6AFI0"", ""Q6D8I6"", ""Q6F145"", ""Q6FER7"", ""Q6FZ91"", ""Q6G2S8"", ""Q6G9D4"", ""Q6GGY0"", ""Q6HJC7"", ""Q6KIQ6"", ""Q6LUM1"", ""Q6MID2"", ""Q6N447"", ""Q6NIF2"", ""Q6QGJ5"", ""Q6REU8"", ""Q6YQT0"", ""Q71YE1"", ""Q738X7"", ""Q73VZ2"", ""Q74IU3"", ""Q7MNN6"", ""Q7MTB5"", ""Q7N8U4"", ""Q7NZ95"", ""Q7UID0"", ""Q7VMH2"", ""Q7VUE3"", ""Q7W1A9"", ""Q7WP13"", ""Q81E05"", ""Q81R23"", ""Q82WU3"", ""Q834R3"", ""Q83BG2"", ""Q87BT4"", ""Q87SA0"", ""Q87UL4"", ""Q88CN9"", ""Q88W05"", ""Q89G35"", ""Q8A639"", ""Q8D2N4"", ""Q8DER9"", ""Q8DUI4"", ""Q8DZ07"", ""Q8E4L6"", ""Q8EH94"", ""Q8EQG0"", ""Q8EV81"", ""Q8FR47"", ""Q8G3T9"", ""Q8K9C3"", ""Q8NS38"", ""Q8P1D1"", ""Q8PCE7"", ""Q8PP46"", ""Q8RGP6"", ""Q8SRG2"", ""Q8UDS3"", ""Q8Y0U6"", ""Q8Y626"", ""Q8Z412"", ""Q8ZHV1"", ""Q8ZMA9"", ""Q92AD4"", ""Q92NQ5"", ""Q97EV3"", ""Q98KH9"", ""Q98Q31"", ""Q9A6H0"", ""Q9ANR7"", ""Q9CBW0"", ""Q9I6F1"", ""Q9JT57"", ""Q9JY72"", ""Q9K7B5"", ""Q9P4T7"", ""Q9PB13"", ""Q9RAM7"", ""Q9XC19"", ""Q9Z671"", ""P09249"", ""P90463"", ""Q89940"", ""Q9WBI3""]}"
('2.1.1.47',)	1	1	"{""('SSF53335',)"": [""A0A0D4BS77""]}"
('2.1.1.5',)	1	10	"{""('SSF82282',)"": [""O09171"", ""Q93088"", ""Q95332"", ""O35490"", ""Q32LQ4"", ""Q5I597"", ""Q5M8Z0"", ""Q5RFG2"", ""Q5XGM3"", ""Q9VJ31""]}"
('2.1.1.50',)	1	1	"{""('SSF53335',)"": [""B2KPR3""]}"
('2.1.1.53',)	1	7	"{""('SSF53335',)"": [""Q42963"", ""Q93XQ4"", ""Q93XQ5"", ""Q9SEH4"", ""Q9SEH5"", ""Q9SEH7"", ""A0A314LG79""]}"
('2.1.1.56',)	1	34	"{""('SSF53335',)"": [""O43148"", ""O74880"", ""P32783"", ""Q8SR66"", ""Q9D0L8"", ""Q4R7K1"", ""Q5ADX5"", ""Q5U2U7"", ""Q9VJQ4"", ""A1CT57"", ""A1DMG9"", ""A2QVS9"", ""A3GEV2"", ""A4R8D7"", ""A5DDJ4"", ""A5E032"", ""P0CO64"", ""P0CO65"", ""Q1MTD3"", ""Q28FT4"", ""Q2UM19"", ""Q4WN42"", ""Q5HZ60"", ""Q61E36"", ""Q6BMH4"", ""Q6CC11"", ""Q6CKI0"", ""Q6FML4"", ""Q6K833"", ""Q6Z9U7"", ""Q754U7"", ""Q9I8S2"", ""Q9LHQ7"", ""Q9XVS1""]}"
('2.1.1.57',)	1	25	"{""('SSF53335',)"": [""P07617"", ""Q38AH0"", ""Q8N1G2"", ""Q9W4N2"", ""A2VE39"", ""D2HRF1"", ""Q5R981"", ""Q5U2Z5"", ""Q9DBC3"", ""Q9NAA5"", ""A0A7H0DN74"", ""A4HQI9"", ""A8XYX2"", ""P15916"", ""P19748"", ""P21033"", ""P23334"", ""P33052"", ""P68544"", ""P68545"", ""Q4E123"", ""Q4Q089"", ""Q54WR1"", ""Q76ZT1"", ""P41469""]}"
('2.1.1.59',)	1	4	"{""('SSF82199',)"": [""P38818"", ""Q6CMC0"", ""Q6FR37"", ""Q756K8""]}"
('2.1.1.6',)	1	19	"{""('SSF53335',)"": [""A0A193KX02"", ""A1Y9I9"", ""A7MBI7"", ""O88587"", ""P21964"", ""P22734"", ""Q5H879"", ""Q8WZ04"", ""B6CZ46"", ""B6CZ56"", ""B6CZ62"", ""F4ZGF2"", ""G8T6H8"", ""O07431"", ""P86243"", ""Q99028"", ""A4IG53"", ""O42898"", ""Q8NKC1""]}"
('2.1.1.60',)	1	5	"{""('SSF53335',)"": [""F4JNX3"", ""Q7Z624"", ""Q3U2J5"", ""B0K012"", ""Q6GQ33""]}"
('2.1.1.61',)	1	4	"{""('SSF53335',)"": [""O34614"", ""Q2FXG9"", ""Q0DGU2"", ""Q8GUP2""]}"
('2.1.1.62',)	1	3	"{""('SSF51045',)"": [""A0A0R4IKJ1"", ""P59114"", ""Q9H4Z3""]}"
('2.1.1.63',)	1	14	"{""('SSF46767',)"": [""P26188"", ""A3LZM4"", ""A5E7M8"", ""A6ZXD3"", ""C9RE37"", ""O26715"", ""O27970"", ""O93728"", ""Q58924"", ""Q5A0Y8"", ""Q6BVY4"", ""Q6CPW2"", ""Q6FNR0"", ""Q8TZ11""]}"
('2.1.1.67',)	1	94	"{""('SSF53335',)"": [""P51580"", ""O55060"", ""O86262"", ""Q17QQ2"", ""Q3BCR0"", ""Q3BCR3"", ""Q3BCR8"", ""Q6EIC1"", ""Q8HX86"", ""Q93JT2"", ""Q9QX22"", ""Q9Z0T0"", ""A0KSQ0"", ""A0Q3W9"", ""A1RFQ1"", ""A1S2Z7"", ""A1U560"", ""A3D007"", ""A3QI29"", ""A4XVB5"", ""A4YAM5"", ""A5F1V4"", ""A5II06"", ""A5W759"", ""A6V3Q8"", ""A6WSW9"", ""A7IIX3"", ""A7MVH9"", ""A8G0J1"", ""A8H029"", ""A9I3K3"", ""A9L3X6"", ""B0KUP7"", ""B0TSS5"", ""B1J4W2"", ""B1KHT1"", ""B5FEQ9"", ""B6ENK8"", ""B7VAP9"", ""B7VPF3"", ""B8CUG6"", ""B8ECC0"", ""C1DRL5"", ""C3K732"", ""C3LLS2"", ""C5BIS1"", ""Q02NZ5"", ""Q07XD8"", ""Q0ADU3"", ""Q0HMQ6"", ""Q0HR25"", ""Q12RU3"", ""Q14FX6"", ""Q1ID19"", ""Q1Q8I2"", ""Q2KV81"", ""Q2Y6S0"", ""Q3BCQ8"", ""Q3BCR1"", ""Q3BCR2"", ""Q3BCR4"", ""Q3BCR5"", ""Q3BCR6"", ""Q3BCR9"", ""Q3BVI6"", ""Q3K932"", ""Q4K8U2"", ""Q4UST1"", ""Q4ZQC3"", ""Q504A5"", ""Q5E4N9"", ""Q5FT39"", ""Q5NEH3"", ""Q5RBJ3"", ""Q5WSX9"", ""Q5X154"", ""Q5ZRP5"", ""Q60AQ2"", ""Q6C6X6"", ""Q6F8H8"", ""Q6LRI5"", ""Q7MK46"", ""Q7VZM5"", ""Q7W8H4"", ""Q7WM36"", ""Q87Q54"", ""Q885Q4"", ""Q88LQ9"", ""Q8DA33"", ""Q8EJ86"", ""Q8PAT3"", ""Q8PMI8"", ""Q9I011"", ""Q9KSN0""]}"
('2.1.1.74',)	1	256	"{""('SSF51905',)"": [""A0AI79"", ""A0LDC6"", ""A0RHK5"", ""A1ALD8"", ""A1B9F0"", ""A1USB2"", ""A1VBW6"", ""A2BRU5"", ""A2BXA3"", ""A2C3G4"", ""A2C8E1"", ""A2REF7"", ""A2RKQ0"", ""A3CN32"", ""A3DCM0"", ""A3PDM1"", ""A3PJ80"", ""A4J5Z8"", ""A4VUS8"", ""A4W125"", ""A4WRQ2"", ""A4XIW8"", ""A4YV54"", ""A5D2W5"", ""A5EJU4"", ""A5G7S3"", ""A5GLJ3"", ""A5GU85"", ""A5IJ51"", ""A5ISD5"", ""A5IXT6"", ""A5V4M8"", ""A5VQ76"", ""A6LJK8"", ""A6QGF1"", ""A6U169"", ""A6U8P9"", ""A6X1E3"", ""A7GRG2"", ""A7HDU6"", ""A7HL16"", ""A7HXL5"", ""A7INE1"", ""A7X1M6"", ""A7Z4N3"", ""A8AXH0"", ""A8F516"", ""A8FD77"", ""A8G5I6"", ""A8ID68"", ""A8LK18"", ""A8YV48"", ""A8Z3T1"", ""A9BEK6"", ""A9FRC1"", ""A9ISB8"", ""A9MAR7"", ""A9NHD0"", ""A9VT70"", ""A9VXT4"", ""B0C6V8"", ""B0CLM0"", ""B0JFX8"", ""B0T866"", ""B0TH93"", ""B0UI96"", ""B1HQJ3"", ""B1I258"", ""B1IBA6"", ""B1L7X2"", ""B1M5H7"", ""B1WR77"", ""B1XK17"", ""B1YIB2"", ""B1ZES7"", ""B2A334"", ""B2IGU6"", ""B2IP98"", ""B2V9U2"", ""B4RDH0"", ""B4U7L4"", ""B4UII2"", ""B5E446"", ""B5EHR5"", ""B5Y8G1"", ""B5YFC6"", ""B7GGC8"", ""B7HDV5"", ""B7HLG5"", ""B7IFU6"", ""B7IUJ1"", ""B7JJB0"", ""B8E2F5"", ""B8JES4"", ""B8ZP43"", ""B9DPG3"", ""B9DS62"", ""B9IVC1"", ""B9KAP3"", ""B9KRK8"", ""B9M5T8"", ""B9MM32"", ""C0M6C7"", ""C0MFF9"", ""C0QTE2"", ""C0ZFA9"", ""C1C6S2"", ""C1CDT9"", ""C1CK27"", ""C1CRV5"", ""C1EP56"", ""C3L795"", ""C3P5N4"", ""C4L614"", ""C6E557"", ""O66913"", ""O68141"", ""P05428"", ""P0DB36"", ""P0DB37"", ""P39815"", ""P59109"", ""P64232"", ""P64233"", ""P64234"", ""P64235"", ""P64236"", ""Q02C58"", ""Q02YZ3"", ""Q039E2"", ""Q03KX0"", ""Q043R6"", ""Q04A02"", ""Q04KY2"", ""Q07MJ4"", ""Q0ANF3"", ""Q0AYP4"", ""Q0BYJ6"", ""Q0IB24"", ""Q11HD9"", ""Q136I8"", ""Q166D3"", ""Q1ATM0"", ""Q1G9V1"", ""Q1GGU2"", ""Q1GTZ7"", ""Q1IHM1"", ""Q1J148"", ""Q1J6J1"", ""Q1JBP0"", ""Q1JGS2"", ""Q1JLM2"", ""Q1MHL2"", ""Q1MQ25"", ""Q1QMC9"", ""Q1WU04"", ""Q213W6"", ""Q24UF0"", ""Q28PE7"", ""Q2FHI7"", ""Q2FZ31"", ""Q2G718"", ""Q2ILE0"", ""Q2IWI0"", ""Q2JQ64"", ""Q2JRF7"", ""Q2K957"", ""Q2LT41"", ""Q2NAC8"", ""Q2RJP8"", ""Q2RTI8"", ""Q2SRN2"", ""Q2SS13"", ""Q2W4D9"", ""Q2YNL7"", ""Q2YXL7"", ""Q312C5"", ""Q31AA9"", ""Q31NM4"", ""Q38WZ1"", ""Q39X89"", ""Q3A7H9"", ""Q3AB71"", ""Q3AIZ7"", ""Q3AX63"", ""Q3J349"", ""Q3K1B8"", ""Q3MA89"", ""Q3SRR6"", ""Q46K52"", ""Q48TI1"", ""Q49X36"", ""Q4L5V3"", ""Q55692"", ""Q57DL3"", ""Q5FKE1"", ""Q5HGI1"", ""Q5HPU1"", ""Q5LST0"", ""Q5M014"", ""Q5M4M7"", ""Q5N5J0"", ""Q5NPP5"", ""Q5SID2"", ""Q5WFP8"", ""Q5XC46"", ""Q636J4"", ""Q65JN6"", ""Q67PC6"", ""Q6ALS7"", ""Q6F0T3"", ""Q6F1M4"", ""Q6G3Y9"", ""Q6G9W2"", ""Q6GHI4"", ""Q6HEY3"", ""Q6MHW5"", ""Q6MTB4"", ""Q6MTM6"", ""Q6N5Z1"", ""Q720E5"", ""Q729K0"", ""Q72IQ5"", ""Q732N8"", ""Q74A44"", ""Q74JJ8"", ""Q7NFC3"", ""Q7TU75"", ""Q7TUW5"", ""Q7U7T2"", ""Q7VD04"", ""Q819X4"", ""Q81WK3"", ""Q834K1"", ""Q88W23"", ""Q89L21"", ""Q8CPH2"", ""Q8DQ51"", ""Q8DZX5"", ""Q8E5M6"", ""Q8P106"", ""Q8REM9"", ""Q8UET6"", ""Q8Y7K1"", ""Q8YNJ4"", ""Q92C76"", ""Q92Q15"", ""Q97R84"", ""Q98LE1"", ""Q99ZL9"", ""Q9A566"", ""Q9CG79"", ""Q9KA24"", ""Q9RXU7"", ""Q9S449"", ""Q9WZJ3""]}"
